"variable","countryname","countrycode","year","value"
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Austria","AUT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Azerbaijan","AZE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bahamas, The","BHS","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bahrain","BHR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bangladesh","BGD","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Barbados","BRB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Belarus","BLR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Belgium","BEL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Belize","BLZ","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Benin","BEN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bermuda","BMU","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bhutan","BTN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bolivia","BOL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bosnia and Herzegovina","BIH","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Botswana","BWA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Brazil","BRA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Brunei Darussalam","BRN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Bulgaria","BGR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Burkina Faso","BFA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Burundi","BDI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Cabo Verde","CPV","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Cambodia","KHM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Cameroon","CMR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Canada","CAN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Cayman Islands","CYM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Central African Republic","CAF","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Chad","TCD","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Channel Islands","CHI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Chile","CHL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","China","CHN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Colombia","COL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Comoros","COM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Congo, Dem. Rep.","ZAR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Congo, Rep.","COG","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Costa Rica","CRI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Cote d'Ivoire","CIV","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Croatia","HRV","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Cuba","CUB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Curacao","CUW","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Cyprus","CYP","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Czech Republic","CZE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Denmark","DNK","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Djibouti","DJI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Dominica","DMA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Dominican Republic","DOM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Ecuador","ECU","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Egypt, Arab Rep.","EGY","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","El Salvador","SLV","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Equatorial Guinea","GNQ","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Eritrea","ERI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Estonia","EST","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Ethiopia","ETH","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Faeroe Islands","FRO","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Fiji","FJI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Finland","FIN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","France","FRA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","French Polynesia","PYF","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Gabon","GAB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Gambia, The","GMB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Georgia","GEO","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Germany","DEU","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Ghana","GHA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Greece","GRC","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Greenland","GRL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Grenada","GRD","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Guam","GUM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Guatemala","GTM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Guinea","GIN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Guinea-Bissau","GNB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Guyana","GUY","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Haiti","HTI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Honduras","HND","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Hong Kong SAR, China","HKG","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Hungary","HUN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Iceland","ISL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","India","IND","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Indonesia","IDN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Iran, Islamic Rep.","IRN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Iraq","IRQ","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Ireland","IRL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Isle of Man","IMY","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Israel","ISR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Italy","ITA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Jamaica","JAM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Japan","JPN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Jordan","JOR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Kazakhstan","KAZ","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Kenya","KEN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Kiribati","KIR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Korea, Dem. Rep.","PRK","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Korea, Rep.","KOR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Kosovo","KSV","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Kuwait","KWT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Kyrgyz Republic","KGZ","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Lao PDR","LAO","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Latvia","LVA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Lebanon","LBN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Lesotho","LSO","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Liberia","LBR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Libya","LBY","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Liechtenstein","LIE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Lithuania","LTU","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Luxembourg","LUX","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Macao SAR, China","MAC","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Macedonia, FYR","MKD","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Madagascar","MDG","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Malawi","MWI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Malaysia","MYS","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Maldives","MDV","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Mali","MLI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Malta","MLT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Marshall Islands","MHL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Mauritania","MRT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Mauritius","MUS","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Mexico","MEX","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Micronesia, Fed. Sts.","FSM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Moldova","MDA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Monaco","MCO","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Mongolia","MNG","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Montenegro","MNE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Morocco","MAR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Mozambique","MOZ","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Myanmar","MMR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Namibia","NAM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Nepal","NPL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Netherlands","NLD","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","New Caledonia","NCL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","New Zealand","NZL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Nicaragua","NIC","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Niger","NER","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Nigeria","NGA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Northern Mariana Islands","MNP","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Norway","NOR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Oman","OMN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Pakistan","PAK","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Palau","PLW","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Panama","PAN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Papua New Guinea","PNG","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Paraguay","PRY","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Peru","PER","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Philippines","PHL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Poland","POL","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Portugal","PRT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Puerto Rico","PRI","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Qatar","QAT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Romania","ROM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Russian Federation","RUS","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Rwanda","RWA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Samoa","WSM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","San Marino","SMR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Sao Tome and Principe","STP","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Saudi Arabia","SAU","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Senegal","SEN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Serbia","SRB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Seychelles","SYC","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Sierra Leone","SLE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Singapore","SGP","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Sint Maarten (Dutch part)","SXM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Slovak Republic","SVK","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Slovenia","SVN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Solomon Islands","SLB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Somalia","SOM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","South Africa","ZAF","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","South Sudan","SSD","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Spain","ESP","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Sri Lanka","LKA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","St. Kitts and Nevis","KNA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","St. Lucia","LCA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","St. Martin (French part)","MAF","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","St. Vincent and the Grenadines","VCT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Sudan","SDN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Suriname","SUR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Swaziland","SWZ","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Sweden","SWE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Switzerland","CHE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Syrian Arab Republic","SYR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Taiwan, China","TWN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Tajikistan","TJK","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Tanzania","TZA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Thailand","THA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Timor-Leste","TMP","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Togo","TGO","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Tonga","TON","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Trinidad and Tobago","TTO","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Tunisia","TUN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Turkey","TUR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Turkmenistan","TKM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Turks and Caicos Islands","TCA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Tuvalu","TUV","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Uganda","UGA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Ukraine","UKR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","United Arab Emirates","ARE","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","United Kingdom","GBR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","United States","USA","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Uruguay","URY","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Uzbekistan","UZB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Vanuatu","VUT","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Venezuela, RB","VEN","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Vietnam","VNM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Virgin Islands (U.S.)","VIR","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","West Bank and Gaza","WBG","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Yemen, Rep.","YEM","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Zambia","ZMB","yr2009",".."
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)","Zimbabwe","ZWE","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Afghanistan","AFG","yr2009","0.4964837126"
"Adjusted savings: carbon dioxide damage (% of GNI)","Albania","ALB","yr2009","0.3479188746"
"Adjusted savings: carbon dioxide damage (% of GNI)","Algeria","DZA","yr2009","0.8200033757"
"Adjusted savings: carbon dioxide damage (% of GNI)","American Samoa","ASM","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Andorra","ADO","yr2009","0.1301585154"
"Adjusted savings: carbon dioxide damage (% of GNI)","Angola","AGO","yr2009","0.3949897046"
"Adjusted savings: carbon dioxide damage (% of GNI)","Antigua and Barbuda","ATG","yr2009","0.4052668614"
"Adjusted savings: carbon dioxide damage (% of GNI)","Argentina","ARG","yr2009","0.4460376979"
"Adjusted savings: carbon dioxide damage (% of GNI)","Armenia","ARM","yr2009","0.4447801251"
"Adjusted savings: carbon dioxide damage (% of GNI)","Aruba","ABW","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Australia","AUS","yr2009","0.3931033345"
"Adjusted savings: carbon dioxide damage (% of GNI)","Austria","AUT","yr2009","0.1467394076"
"Adjusted savings: carbon dioxide damage (% of GNI)","Azerbaijan","AZE","yr2009","0.7189240353"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bahamas, The","BHS","yr2009","0.1968390845"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bahrain","BHR","yr2009","0.9709794771"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bangladesh","BGD","yr2009","0.4385357734"
"Adjusted savings: carbon dioxide damage (% of GNI)","Barbados","BRB","yr2009","0.3390194325"
"Adjusted savings: carbon dioxide damage (% of GNI)","Belarus","BLR","yr2009","1.1518213858"
"Adjusted savings: carbon dioxide damage (% of GNI)","Belgium","BEL","yr2009","0.1977706113"
"Adjusted savings: carbon dioxide damage (% of GNI)","Belize","BLZ","yr2009","0.3460294914"
"Adjusted savings: carbon dioxide damage (% of GNI)","Benin","BEN","yr2009","0.6664931392"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bermuda","BMU","yr2009","0.0595606947"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bhutan","BTN","yr2009","0.2941379203"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bolivia","BOL","yr2009","0.7853892354"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bosnia and Herzegovina","BIH","yr2009","1.0556424575"
"Adjusted savings: carbon dioxide damage (% of GNI)","Botswana","BWA","yr2009","0.4031349978"
"Adjusted savings: carbon dioxide damage (% of GNI)","Brazil","BRA","yr2009","0.2124106543"
"Adjusted savings: carbon dioxide damage (% of GNI)","Brunei Darussalam","BRN","yr2009","0.7304100987"
"Adjusted savings: carbon dioxide damage (% of GNI)","Bulgaria","BGR","yr2009","0.8081356671"
"Adjusted savings: carbon dioxide damage (% of GNI)","Burkina Faso","BFA","yr2009","0.1833495516"
"Adjusted savings: carbon dioxide damage (% of GNI)","Burundi","BDI","yr2009","0.10169585"
"Adjusted savings: carbon dioxide damage (% of GNI)","Cabo Verde","CPV","yr2009","0.167607802"
"Adjusted savings: carbon dioxide damage (% of GNI)","Cambodia","KHM","yr2009","0.3823402468"
"Adjusted savings: carbon dioxide damage (% of GNI)","Cameroon","CMR","yr2009","0.2635437003"
"Adjusted savings: carbon dioxide damage (% of GNI)","Canada","CAN","yr2009","0.3462046586"
"Adjusted savings: carbon dioxide damage (% of GNI)","Cayman Islands","CYM","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Central African Republic","CAF","yr2009","0.1091299801"
"Adjusted savings: carbon dioxide damage (% of GNI)","Chad","TCD","yr2009","0.0509104685"
"Adjusted savings: carbon dioxide damage (% of GNI)","Channel Islands","CHI","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Chile","CHL","yr2009","0.3816510238"
"Adjusted savings: carbon dioxide damage (% of GNI)","China","CHN","yr2009","1.3992730118"
"Adjusted savings: carbon dioxide damage (% of GNI)","Colombia","COL","yr2009","0.2748073455"
